Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1961","1961","ha","980","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1962","1962","ha","9649","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1963","1963","ha","19302","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1964","1964","ha","12220","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1965","1965","ha","16422","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1966","1966","ha","15689","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1967","1967","ha","17290","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1968","1968","ha","20200","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1969","1969","ha","28200","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1970","1970","ha","25970","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1971","1971","ha","36330","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1972","1972","ha","68000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1973","1973","ha","157030","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1974","1974","ha","334440","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1975","1975","ha","355940","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1976","1976","ha","433500","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1977","1977","ha","660000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1978","1978","ha","1150000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1979","1979","ha","1600000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1980","1980","ha","2030000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1981","1981","ha","1880000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1982","1982","ha","1985600","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1983","1983","ha","2280700","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1984","1984","ha","2910000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1985","1985","ha","3269000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1986","1986","ha","3316000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1987","1987","ha","3532650","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1988","1988","ha","4373200","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1989","1989","ha","3931250","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1990","1990","ha","4961600","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1991","1991","ha","4774500","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1992","1992","ha","4935710","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1993","1993","ha","5116235","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1994","1994","ha","5748910","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1995","1995","ha","5934160","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1996","1996","ha","5913415","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1997","1997","ha","6393780","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1998","1998","ha","6954120","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","1999","1999","ha","8180000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2000","2000","ha","8637503","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2001","2001","ha","10400193","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2002","2002","ha","11405247","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2003","2003","ha","12419995","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2004","2004","ha","14304539","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2005","2005","ha","14032198","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2006","2006","ha","15130038","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2007","2007","ha","15981264","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2008","2008","ha","16387438","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2009","2009","ha","16771003","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2010","2010","ha","18130800","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2011","2011","ha","18764850","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2012","2012","ha","17577320","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2013","2013","ha","19418824","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2014","2014","ha","19252552","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2015","2015","ha","19352115","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2016","2016","ha","19504648","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2017","2017","ha","17335102","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2018","2018","ha","16318060","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2019","2019","ha","16575887","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2020","2020","ha","16710793","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2021","2021","ha","16466714","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2022","2022","ha","15874266","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0141","Soya beans","2023","2023","ha","14356922","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1961","1961","ha","240919","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1962","1962","ha","313640","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1963","1963","ha","339796","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1964","1964","ha","359622","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1965","1965","ha","431834","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1966","1966","ha","490687","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1967","1967","ha","612115","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1968","1968","ha","721913","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1969","1969","ha","906073","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1970","1970","ha","1318809","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1971","1971","ha","1716420","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1972","1972","ha","2191455","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1973","1973","ha","3615058","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1974","1974","ha","5143367","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1975","1975","ha","5824492","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1976","1976","ha","6416368","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1977","1977","ha","7070263","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1978","1978","ha","7782187","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1979","1979","ha","8256096","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1980","1980","ha","8774023","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1981","1981","ha","8501169","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1982","1982","ha","8203277","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1983","1983","ha","8137112","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1984","1984","ha","9421202","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1985","1985","ha","10153405","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1986","1986","ha","9181587","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1987","1987","ha","9129795","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1988","1988","ha","10518370","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1989","1989","ha","12200560","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1990","1990","ha","11487300","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1991","1991","ha","9616650","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1992","1992","ha","9441390","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1993","1993","ha","10635330","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1994","1994","ha","11525410","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1995","1995","ha","11675005","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1996","1996","ha","10299470","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1997","1997","ha","11486478","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1998","1998","ha","13303656","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","1999","1999","ha","13061410","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2000","2000","ha","13656771","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2001","2001","ha","13985099","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2002","2002","ha","16359441","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2003","2003","ha","18524768","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2004","2004","ha","21538990","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2005","2005","ha","22948874","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2006","2006","ha","22047348","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2007","2007","ha","20565279","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2008","2008","ha","21246302","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2009","2009","ha","21750468","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2010","2010","ha","23327296","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2011","2011","ha","23968663","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2012","2012","ha","24975258","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2013","2013","ha","27906675","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2014","2014","ha","30273763","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2015","2015","ha","32181243","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2016","2016","ha","33183119","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2017","2017","ha","33959879","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2018","2018","ha","34777936","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2019","2019","ha","35895207","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2020","2020","ha","37191638","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2021","2021","ha","39126269","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2022","2022","ha","41050906","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2023","2023","ha","44447552","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1961","1961","ha","1300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1962","1962","ha","1800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1963","1963","ha","4500","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1964","1964","ha","6250","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1965","1965","ha","11250","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1966","1966","ha","14280","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1967","1967","ha","12860","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1968","1968","ha","8400","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1969","1969","ha","12220","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1970","1970","ha","28300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1971","1971","ha","54600","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1972","1972","ha","75800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1973","1973","ha","81381","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1974","1974","ha","127300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1975","1975","ha","150200","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1976","1976","ha","173400","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1977","1977","ha","228800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1978","1978","ha","272200","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1979","1979","ha","360300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1980","1980","ha","475300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1981","1981","ha","396100","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1982","1982","ha","502200","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1983","1983","ha","576800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1984","1984","ha","638800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1985","1985","ha","718800","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1986","1986","ha","539300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1987","1987","ha","673500","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1988","1988","ha","765500","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1989","1989","ha","851300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1990","1990","ha","899900","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1991","1991","ha","552657","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1992","1992","ha","594720","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1993","1993","ha","634993","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1994","1994","ha","694117","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1995","1995","ha","735503","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1996","1996","ha","833005","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1997","1997","ha","939652","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1998","1998","ha","1086043","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","1999","1999","ha","1165748","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2000","2000","ha","1176460","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2001","2001","ha","1350000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2002","2002","ha","1445360","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2003","2003","ha","1474148","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2004","2004","ha","1870000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2005","2005","ha","1970000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2006","2006","ha","2200000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2007","2007","ha","2400000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2008","2008","ha","2463510","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2009","2009","ha","2570000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2010","2010","ha","2671059","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2011","2011","ha","2805467","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2012","2012","ha","2920000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2013","2013","ha","3080000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2014","2014","ha","3500000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2015","2015","ha","3540000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2016","2016","ha","3370000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2017","2017","ha","3380000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2018","2018","ha","3510000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2019","2019","ha","3565000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2020","2020","ha","3631000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2021","2021","ha","3640000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2022","2022","ha","3539811","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0141","Soya beans","2023","2023","ha","3608000","A","Official figure",""
